Time,X,Y,Z,|V|,MAx,MAy,MAz,MAv
"3,675","-4,687,071","-8,498,075","199,839","9,707,000","-4,064","-8,870",48,"9,776"
"3,693","-4,822,008","-8,455,611","57,949","9,734,089","-4,422","-8,648",99,"9,725"
"3,713","-4,692,530","-8,392,615","-12,277","9,615,403","-4,654","-8,501",109,"9,694"
"3,739","-4,704,185","-8,437,990","-205,557","9,662,882","-4,726","-8,446",10,"9,680"
"3,752","-4,798,689","-8,376,699","-238,204","9,656,772","-4,754","-8,416",-100,"9,667"
"3,773","-4,976,731","-8,344,511","81,240","9,716,240","-4,793","-8,388",-94,"9,663"
"3,792","-4,791,698","-8,546,888","295,990","9,802,922","-4,818","-8,427",-17,"9,710"
"3,817","-4,750,249","-8,506,302","430,688","9,752,309","-4,829","-8,444",142,"9,732"
"3,832","-4,697,184","-8,351,531","159,416","9,583,163","-4,804","-8,437",242,"9,714"
"3,852","-4,637,980","-8,329,121","-146,353","9,534,492","-4,719","-8,433",185,"9,668"
"3,872","-4,639,178","-8,271,008","-198,106","9,485,294","-4,681","-8,364",61,"9,589"
"3,897","-4,686,841","-8,195,640","-179,613","9,442,841","-4,665","-8,287",-91,"9,511"
"3,911","-4,797,406","-8,430,300","-259,158","9,703,206","-4,690","-8,307",-196,"9,541"
"3,932","-4,787,953","-8,518,101","-422,232","9,780,634","-4,728","-8,354",-265,"9,603"
"3,951","-4,723,875","-8,543,632","-265,890","9,766,234","-4,749","-8,422",-282,"9,673"
"3,975","-4,631,152","-8,620,093","-110,325","9,785,998","-4,735","-8,528",-264,"9,759"
"3,991","-4,713,436","-8,506,043","-22,189","9,724,698","-4,714","-8,547",-205,"9,764"
"4,011","-4,676,240","-8,471,969","-65,094","9,677,071","-4,686","-8,535",-116,"9,739"
"4,031","-4,755,967","-8,279,552","-320,948","9,553,701","-4,694","-8,469",-130,"9,685"
"4,055","-4,807,499","-8,174,849","-310,059","9,488,748","-4,738","-8,358",-180,"9,611"
"4,072","-4,729,707","-8,291,935","-248,700","9,549,250","-4,742","-8,305",-236,"9,567"
"4,090","-4,681,737","-8,316,824","-166,330","9,545,464","-4,744","-8,266",-262,"9,534"
"4,110","-4,645,460","-8,322,063","36,181","9,530,915","-4,716","-8,276",-172,"9,529"
"4,139","-4,630,826","-8,410,266","167,805","9,602,358","-4,672","-8,335",-53,"9,557"
"4,150","-4,587,166","-8,440,518","-35,291","9,606,544","-4,636","-8,372",1,"9,571"
"4,170","-4,740,098","-8,267,897","-195,970","9,532,316","-4,651","-8,360",-7,"9,568"
"4,189","-4,667,151","-8,194,165","-285,858","9,434,424","-4,656","-8,328",-87,"9,544"
"4,214","-4,445,487","-8,430,032","-48,612","9,530,486","-4,610","-8,333",-141,"9,526"
"4,230","-4,164,311","-8,439,877","-82,744","9,411,687","-4,504","-8,333",-153,"9,477"
"4,249","-3,990,885","-8,687,687","-185,541","9,562,295","-4,317","-8,438",-151,"9,485"
"4,269","-3,896,793","-8,582,983","-295,703","9,430,802","-4,124","-8,535",-153,"9,484"
"4,296","-4,261,439","-8,422,830","-133,731","9,440,435","-4,078","-8,533",-174,"9,461"
"4,309","-4,492,174","-8,530,292","105,661","9,641,404","-4,160","-8,556",-127,"9,519"
"4,328","-4,366,258","-8,850,387","353,164","9,875,134","-4,254","-8,597",7,"9,597"
"4,348","-4,253,079","-9,095,218","404,400","10,048,642","-4,343","-8,725",182,"9,751"
"4,372","-4,414,429","-9,049,000","150,136","10,069,465","-4,381","-8,881",253,"9,909"
"4,388","-4,584,944","-8,884,375","92,780","9,998,121","-4,405","-8,970",250,"9,998"
"4,408","-4,610,227","-8,885,754","430,085","10,019,770","-4,466","-8,979",269,"10,034"
"4,427","-4,617,840","-8,953,922","737,012","10,101,503","-4,557","-8,943",353,"10,047"
"4,451","-4,491,072","-9,201,415","555,876","10,254,012","-4,576","-8,981",454,"10,093"
"4,467","-4,586,342","-9,067,043","280,371","10,164,862","-4,576","-9,027",501,"10,135"
"4,487","-4,760,602","-8,675,419","9,213","9,895,772","-4,614","-8,974",396,"10,104"
"4,507","-4,634,753","-8,552,041","197,924","9,729,209","-4,618","-8,874",261,"10,011"
"4,533","-4,524,438","-8,453,276","646,071","9,609,673","-4,627","-8,687",283,"9,850"
"4,546","-4,305,770","-8,371,834","871,777","9,454,483","-4,556","-8,513",431,"9,672"
"4,567","-4,146,394","-8,428,414","481,694","9,405,466","-4,403","-8,451",549,"9,550"
"4,587","-4,318,077","-8,467,171","22,170","9,504,696","-4,324","-8,430",505,"9,494"
"4,613","-4,516,394","-8,439,762","59,079","9,572,402","-4,322","-8,427",359,"9,484"
"4,627","-4,475,098","-8,722,623","719,649","9,829,982","-4,364","-8,514",321,"9,578"
"4,646","-4,428,363","-8,872,068","1,197,877","9,987,938","-4,434","-8,625",500,"9,724"
